name,stars,forks,watchers,open_issues,primary_language,languages,created_at,updated_at
harness,32486,2830,32486,72,Go,"['Go', 'TypeScript', 'SCSS', 'JavaScript', 'Shell', 'PLpgSQL', 'Makefile', 'HTML', 'Dockerfile', 'Smarty']",2014-02-07T07:54:44Z,2025-03-03T19:56:02Z
gpt-pilot,32433,3298,32433,248,Python,"['Python', 'TypeScript', 'JavaScript', 'Smarty', 'Dockerfile', 'CSS', 'EJS', 'Shell', 'HTML', 'Mako']",2023-08-16T11:56:07Z,2025-03-03T21:53:08Z
awesome-awesomeness,32407,3571,32407,40,Ruby,['Ruby'],2014-07-08T05:44:19Z,2025-03-03T21:01:21Z
zsh-autosuggestions,32366,1881,32366,182,Shell,"['Shell', 'Ruby', 'Makefile', 'Dockerfile']",2013-10-26T16:09:37Z,2025-03-03T21:02:12Z
material-design-lite,32294,5012,32294,420,HTML,"['HTML', 'CSS', 'JavaScript']",2015-01-14T22:01:33Z,2025-03-03T08:30:59Z
crawl4ai,32192,2705,32192,82,Python,"['Python', 'JavaScript', 'Dockerfile']",2024-05-09T09:48:50Z,2025-03-03T21:33:56Z
LLM101n,32170,1741,32170,19,,[],2024-05-27T00:23:38Z,2025-03-03T21:34:24Z
portainer,32158,2543,32158,725,TypeScript,"['TypeScript', 'Go', 'JavaScript', 'HTML', 'CSS', 'Shell', 'Dockerfile', 'Makefile', 'EJS', 'Mustache', 'Handlebars']",2016-05-19T20:15:28Z,2025-03-03T21:52:30Z
polars,32145,2105,32145,2355,Rust,"['Rust', 'Python', 'Makefile', 'CSS', 'HTML', 'RenderScript']",2020-05-13T19:45:33Z,2025-03-03T20:48:56Z
HEU_KMS_Activator,32142,3269,32142,138,,[],2019-06-23T00:49:35Z,2025-03-03T15:52:20Z
How-To-Ask-Questions-The-Smart-Way,32023,5688,32023,7,JavaScript,['JavaScript'],2015-03-28T16:52:40Z,2025-03-03T19:53:21Z
shardeum,31992,678,31992,49,TypeScript,"['TypeScript', 'JavaScript', 'Shell', 'Nix', 'Dockerfile']",2024-04-16T22:37:25Z,2025-03-03T21:52:06Z
certbot,31973,3423,31973,194,Python,"['Python', 'Shell', 'Batchfile', 'Makefile', 'Augeas', 'Dockerfile', 'DIGITAL Command Language', 'Smarty', 'Standard ML']",2014-11-12T02:52:20Z,2025-03-03T19:58:29Z
